iter	RMSE
0	1.136866459
1	1.131704014
2	1.126688148
3	1.121569035
4	1.116231159
5	1.111306308
6	1.106253615
7	1.101898485
8	1.097129703
9	1.09289746
10	1.088676693
11	1.083956006
12	1.079594957
13	1.075193123
14	1.071072963
15	1.067333352
16	1.063140614
17	1.058942606
18	1.054684276
19	1.050638271
20	1.046405067
21	1.042239648
22	1.038591824
23	1.034796554
24	1.031433121
25	1.027443122
26	1.024164284
27	1.020984244
28	1.017714619
29	1.014001744
30	1.010491736
31	1.007287841
32	1.0038234
33	1.001218965
34	0.9979075688
35	0.9944215929
36	0.9913571885
37	0.988327172
38	0.9850373812
39	0.9819849004
40	0.9798639206
41	0.9779185129
42	0.9751190061
43	0.9719025861
44	0.9693210001
45	0.9670685958
46	0.9645924914
47	0.962227609
48	0.9594410595
49	0.9569221752
50	0.9544961252
51	0.9520816351
52	0.9496439436
53	0.9471899258
54	0.9454862956
55	0.9427405176
56	0.9410346073
57	0.9386593727
58	0.9364360133
59	0.934249218
60	0.9316309155
61	0.929536858
62	0.927588555
63	0.9252922963
64	0.9235995242
65	0.9214989737
66	0.9195569296
67	0.917784554
68	0.9160780976
69	0.9144178092
70	0.9124376624
71	0.9102376935
72	0.9087454603
73	0.90672127
74	0.9046242493
75	0.9030544338
76	0.9014486442
77	0.8996144222
78	0.8981988117
79	0.8965189009
80	0.8951465895
81	0.8933846451
82	0.8916117035
83	0.8896253819
84	0.8875387886
85	0.8858513406
86	0.8840186964
87	0.8825631622
88	0.880920245
89	0.8796009031
90	0.8780313825
91	0.8763664631
92	0.8749745081
93	0.8735774588
94	0.8725768477
95	0.8714364543
96	0.8703586932
97	0.8691005416
98	0.8681298356
99	0.8665125279
100	0.8653059095
101	0.8640725255
102	0.862725133
103	0.8612870732
104	0.8603882434
105	0.8593614288
106	0.8581997873
107	0.857093442
108	0.8555163507
109	0.8543004067
110	0.8533048908
111	0.8521623911
112	0.8511158784
113	0.8497184049
114	0.848814549
115	0.8479759699
116	0.8471260265
117	0.8459450588
118	0.8448464316
119	0.8436475533
120	0.8430510341
121	0.8419925215
122	0.8412654782
123	0.8403503154
124	0.8393430259
125	0.8384902761
126	0.8371133738
127	0.8357358375
128	0.8348722452
129	0.8341404554
130	0.8330840816
131	0.8322462979
132	0.8315881248
133	0.8306737038
134	0.8297674682
135	0.8291816122
136	0.8283720589
137	0.8275252913
138	0.8267047315
139	0.8260921284
140	0.8252876493
141	0.8243284375
142	0.8236591812
143	0.8227503556
144	0.8222493991
145	0.8213842442
146	0.8204589557
147	0.8196952119
148	0.8191936113
149	0.8185688133
150	0.8176809328
151	0.8168066935
152	0.8163950414
153	0.8159381704
154	0.8154245192
155	0.8146224796
156	0.8140143494
157	0.8132771163
158	0.8125168932
159	0.8118243071
160	0.8110210117
161	0.8105464402
162	0.8097845093
163	0.8092245585
164	0.8086256921
165	0.807984559
166	0.807331821
167	0.8068658407
168	0.8062848326
169	0.8056010235
170	0.8050906178
171	0.8045089813
172	0.8037056769
173	0.8028369539
174	0.8023431664
175	0.8018304807
176	0.8013766603
177	0.8010303665
178	0.8006994655
179	0.8002334626
180	0.7995065365
181	0.7991082072
182	0.7985713321
183	0.7980168922
184	0.7975925987
185	0.7969732099
186	0.7966002499
187	0.7962817168
188	0.7957991367
189	0.7953176686
190	0.7948856269
191	0.7941627714
192	0.7935805415
193	0.7931983026
194	0.7928831759
195	0.7920753478
196	0.7917436241
197	0.79128323
198	0.790601168
199	0.7902298005
200	0.7898858387
201	0.7893810969
202	0.7887018631
203	0.7882812487
204	0.7879193918
205	0.7877496117
206	0.7873984412
207	0.7869699986
208	0.7866755789
209	0.7859711248
210	0.7855504579
211	0.7851660175
212	0.7847959449
213	0.7843413062
214	0.7840766522
215	0.783662242
216	0.7832713489
217	0.7828215862
218	0.782381274
219	0.7819304206
220	0.7815267717
221	0.7812534487
222	0.7809129648
223	0.7806780899
224	0.7804162339
225	0.7801171971
226	0.7798313718
227	0.7794530053
228	0.7791698324
229	0.7787751469
230	0.7785053461
231	0.778211796
232	0.7778324521
233	0.7770597015
234	0.7765366811
235	0.7762390443
236	0.7756483833
237	0.7753681295
238	0.7748160369
239	0.7743385204
