iter	Passed	Remaining
0	20	4860
1	38	4527
2	57	4541
3	74	4383
4	90	4270
5	109	4287
6	127	4233
7	145	4217
8	166	4281
9	187	4308
10	195	4072
11	211	4014
12	229	4003
13	246	3977
14	265	3986
15	284	3985
16	304	3991
17	323	3983
18	342	3987
19	365	4017
20	383	4004
21	401	3979
22	419	3954
23	437	3941
24	455	3913
25	472	3892
26	490	3867
27	507	3840
28	525	3823
29	543	3806
30	562	3792
31	581	3778
32	601	3771
33	619	3751
34	636	3728
35	653	3702
36	670	3676
37	688	3657
38	705	3634
39	722	3610
40	739	3589
41	759	3580
42	776	3559
43	793	3535
44	810	3512
45	827	3491
46	844	3468
47	862	3448
48	880	3430
49	896	3406
50	915	3391
51	935	3382
52	954	3369
53	974	3356
54	993	3340
55	1012	3326
56	1031	3312
57	1050	3296
58	1068	3278
59	1088	3264
60	1107	3250
61	1126	3234
62	1146	3221
63	1166	3206
64	1185	3191
65	1207	3183
66	1225	3165
67	1242	3143
68	1260	3124
69	1280	3108
70	1298	3091
71	1316	3072
72	1334	3053
73	1354	3037
74	1373	3022
75	1393	3006
76	1411	2988
77	1428	2967
78	1446	2947
79	1464	2929
80	1481	2908
81	1500	2890
82	1518	2873
83	1537	2854
84	1554	2834
85	1570	2813
86	1589	2796
87	1609	2779
88	1626	2759
89	1645	2742
90	1663	2724
91	1681	2705
92	1698	2684
93	1715	2665
94	1732	2644
95	1750	2625
96	1770	2609
97	1787	2590
98	1805	2571
99	1823	2552
100	1840	2532
101	1857	2512
102	1875	2494
103	1896	2479
104	1913	2460
105	1929	2439
106	1947	2420
107	1964	2400
108	1981	2381
109	1997	2360
110	2014	2341
111	2031	2322
112	2048	2302
113	2067	2285
114	2087	2269
115	2104	2250
116	2121	2230
117	2139	2211
118	2156	2193
119	2175	2175
120	2196	2160
121	2215	2142
122	2232	2123
123	2251	2106
124	2271	2089
125	2290	2072
126	2308	2053
127	2327	2036
128	2345	2018
129	2365	2001
130	2384	1984
131	2402	1965
132	2420	1946
133	2439	1929
134	2456	1910
135	2473	1891
136	2489	1871
137	2506	1852
138	2523	1833
139	2529	1806
140	2545	1787
141	2565	1770
142	2581	1750
143	2597	1731
144	2614	1712
145	2632	1694
146	2650	1676
147	2666	1657
148	2686	1640
149	2704	1622
150	2722	1604
151	2742	1587
152	2761	1570
153	2779	1552
154	2797	1534
155	2817	1517
156	2836	1499
157	2854	1481
158	2873	1463
159	2891	1445
160	2913	1429
161	2931	1411
162	2950	1393
163	2968	1375
164	2986	1357
165	3005	1339
166	3025	1322
167	3046	1305
168	3064	1287
169	3081	1268
170	3098	1250
171	3116	1232
172	3133	1213
173	3152	1195
174	3169	1177
175	3187	1159
176	3206	1141
177	3226	1123
178	3245	1105
179	3265	1088
180	3284	1070
181	3301	1052
182	3320	1034
183	3339	1016
184	3357	998
185	3376	980
186	3394	962
187	3412	943
188	3431	925
189	3449	907
190	3467	889
191	3484	871
192	3502	852
193	3520	834
194	3537	816
195	3556	798
196	3574	780
197	3593	762
198	3614	744
199	3630	726
200	3647	707
201	3665	689
202	3683	671
203	3702	653
204	3719	635
205	3736	616
206	3756	598
207	3776	580
208	3795	562
209	3813	544
210	3832	526
211	3851	508
212	3869	490
213	3886	472
214	3905	454
215	3925	436
216	3943	417
217	3961	399
218	3979	381
219	3996	363
220	4014	345
221	4032	326
222	4050	308
223	4068	290
224	4086	272
225	4104	254
226	4121	236
227	4139	217
228	4158	199
229	4174	181
230	4192	163
231	4208	145
232	4225	126
233	4242	108
234	4260	90
235	4279	72
236	4294	54
237	4311	36
238	4330	18
239	4349	0
